severity,scope,bundle_id,message
info,RQ1,bundle_0001,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0001,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ1,bundle_0002,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0002,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ4,bundle_0002,"Server defense diagnostics are available, but malicious admission metrics require a matched proxy ground truth file."
info,RQ1,bundle_0003,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0003,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ1,bundle_0004,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0004,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ1,bundle_0005,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0005,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ1,bundle_0006,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0006,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ1,bundle_0007,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0007,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ4,bundle_0007,"Server defense diagnostics are available, but malicious admission metrics require a matched proxy ground truth file."
info,RQ1,bundle_0008,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0008,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ1,bundle_0009,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0009,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ1,bundle_0010,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0010,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ1,bundle_0011,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0011,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ4,bundle_0011,"Server defense diagnostics are available, but malicious admission metrics require a matched proxy ground truth file."
info,RQ1,bundle_0012,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0012,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
info,RQ1,bundle_0013,Phase confusion requires matched analyzer decision and client metric files.
info,RQ2,bundle_0013,Exact trigger precision and recall require a matched analyzer or proxy run and client upload ground truth.
