sha256,selected,file,is_duplicate
6dfe4408f888d6663d7b91e086e98f09e88d8f3219565303a0c0008f3925292e,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_wire_upload_log_20260722_131031.csv,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_wire_upload_log_20260722_131031.csv,False
6dfe4408f888d6663d7b91e086e98f09e88d8f3219565303a0c0008f3925292e,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_wire_upload_log_20260722_131031.csv,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_wire_upload_log.csv,True
3caecacd73cec3aad1ef2f7f914a76126088a56f21bfcf6ca45f706a1afa2b6c,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_events_20260722_131031.jsonl,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_events_20260722_131031.jsonl,False
3caecacd73cec3aad1ef2f7f914a76126088a56f21bfcf6ca45f706a1afa2b6c,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_events_20260722_131031.jsonl,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_events.jsonl,True
38d470f5435579713510f4ae9a17adf2043cdde65911b17f35c2cd2ed92e37f7,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_round_log_20260722_131031.csv,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_round_log_20260722_131031.csv,False
ad247bdb99103073d054737cd44fb2e77c1fd6451e2b9df0592ca46e37be2144,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_phase_log_20260722_131031.csv,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_phase_log_20260722_131031.csv,False
9a27db1f1a8fc8b2965b5a2eb8f42a9c5eadefaef1fbc0b8edb1843a39a76dac,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_decision_log_20260722_131031.csv,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_decision_log_20260722_131031.csv,False
4eb02274c47072d0ea2c20df5d70bbefa396088aadafc5f51f08175256aa9a7c,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_wire_upload_log_20260722_133746.csv,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_wire_upload_log_20260722_133746.csv,False
4eb02274c47072d0ea2c20df5d70bbefa396088aadafc5f51f08175256aa9a7c,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_wire_upload_log_20260722_133746.csv,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_wire_upload_log.csv,True
34054c1e31cf4e4a9fcbae3afca2de013bfe96bbcc1ab27d76eb5625dd07edf7,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_events_20260722_133746.jsonl,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_events_20260722_133746.jsonl,False
34054c1e31cf4e4a9fcbae3afca2de013bfe96bbcc1ab27d76eb5625dd07edf7,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_events_20260722_133746.jsonl,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_events.jsonl,True
